iter	RMSE
0	0.3110340386
1	0.2989874198
2	0.2890881782
3	0.2807298335
4	0.2740147769
5	0.2692342773
6	0.2610119044
7	0.2552978539
8	0.2498926729
9	0.2471777641
10	0.2447428451
11	0.2429660987
12	0.2408404671
13	0.2395190516
14	0.236051032
15	0.2350033743
16	0.2338636496
17	0.2317884635
18	0.2308045762
19	0.2290967843
20	0.2272952578
21	0.2263024187
22	0.2254200482
23	0.2238829832
24	0.2230798181
25	0.2218519082
26	0.2211085052
27	0.2197296195
28	0.2192618596
29	0.2183564766
30	0.2170652969
31	0.2163317384
32	0.2156730131
33	0.2151406917
34	0.2146657371
35	0.2139189589
36	0.2132327196
37	0.212909391
38	0.2122032837
39	0.2113441472
40	0.2109031882
41	0.2103482298
42	0.2093833579
43	0.2086174402
44	0.2081875922
45	0.2070436621
46	0.2066091408
47	0.205906906
48	0.2052352776
49	0.2045895669
50	0.2037829578
51	0.2032884284
52	0.2030510114
53	0.2027226321
54	0.2022693408
55	0.2019168649
56	0.201583855
57	0.2013073074
58	0.200850304
59	0.2005565201
60	0.2000561452
61	0.1995270621
62	0.1991442209
63	0.1983101815
64	0.1978088156
65	0.1973821735
66	0.1967450654
67	0.196294418
68	0.1957225368
69	0.1953077863
70	0.1949010335
71	0.1943982965
72	0.1940996472
73	0.1938155201
74	0.1934062101
75	0.1929413188
76	0.1927722065
77	0.1923208841
78	0.1918865357
79	0.1916749505
80	0.1914490787
81	0.1912300927
82	0.1910207292
83	0.1908296562
84	0.190514527
85	0.190215874
86	0.1899695462
87	0.1896729303
88	0.1890774614
89	0.1888791632
90	0.1887066356
91	0.1884490362
92	0.1881141984
93	0.1878231761
94	0.1876463568
95	0.1873960971
96	0.1870931708
97	0.1866787117
98	0.1862046906
99	0.1859100265
100	0.1855554025
101	0.1851595131
102	0.1849118162
103	0.1847104454
104	0.1844242355
105	0.1842295184
106	0.1840092555
107	0.1836776179
108	0.183499958
109	0.1831993502
110	0.1829436644
111	0.1824579491
112	0.1821688266
113	0.1817073498
114	0.1814121173
115	0.1811612626
116	0.180877671
117	0.1806496553
118	0.1803641957
119	0.1800521684
120	0.179879824
121	0.1796952752
122	0.1794529745
123	0.1791375345
124	0.1790225638
125	0.1788064313
126	0.1786525896
127	0.1784751493
128	0.1782607292
129	0.1780886152
130	0.1778909867
131	0.1777060943
132	0.1772577385
133	0.1770271818
134	0.1768572394
135	0.1766839232
136	0.1762387868
137	0.1759843819
138	0.1758299394
139	0.1754494219
140	0.1752295904
141	0.1750938
142	0.1747884864
143	0.1745588747
144	0.1744084962
145	0.1741434879
146	0.1739545373
147	0.1737628958
148	0.1735715352
149	0.1731590799
150	0.1729111526
151	0.1727851522
152	0.1725873774
153	0.1723767507
154	0.1721654313
155	0.1719371364
156	0.1718211538
157	0.17157078
158	0.1713712158
159	0.1712548506
160	0.1709492647
161	0.1707179216
162	0.1705467672
163	0.1703736403
164	0.1701905969
165	0.1701019846
166	0.1699999425
167	0.1698788274
168	0.1697323767
169	0.1694462357
170	0.1693097421
171	0.1691394613
172	0.1689272076
173	0.1687795375
174	0.1686391739
175	0.1684724739
176	0.1682337068
177	0.1680885973
178	0.1678116236
179	0.1676648636
180	0.1675523776
181	0.1673754522
182	0.1672463839
183	0.1671081296
184	0.1669755885
185	0.1668188999
186	0.1664770844
187	0.1663116409
188	0.1661793278
189	0.1660627232
190	0.1658928605
191	0.1656958116
192	0.1655813458
193	0.1655013787
194	0.165338252
195	0.1651644761
196	0.1649754907
197	0.1647303592
198	0.1646272632
199	0.1645166598
200	0.1643368978
201	0.1640964014
202	0.163905761
203	0.163600838
204	0.1633948384
205	0.1632621147
206	0.1631791498
207	0.1629749042
208	0.1628285801
209	0.1627150019
210	0.1625777085
211	0.1624835162
212	0.1623251852
213	0.1621300733
214	0.1620395935
215	0.1619356071
216	0.1618013543
217	0.1615977484
218	0.1615371186
219	0.1614470235
220	0.1613242204
221	0.1611868636
222	0.1610249962
223	0.1608760442
224	0.1608154533
225	0.1606541057
226	0.1605337289
227	0.1604185169
228	0.160298863
229	0.1601382733
230	0.1600592265
231	0.1599276603
232	0.1597998214
233	0.1596459638
234	0.1595573517
235	0.1593257288
236	0.1592579501
237	0.1589818219
238	0.1588561081
239	0.1587208169
240	0.1586348114
241	0.1584925462
242	0.1583849125
243	0.1582480542
244	0.1580850976
245	0.1578926778
246	0.1577220326
247	0.1575112572
248	0.1573799111
249	0.1572828304
250	0.157100458
251	0.1570126859
252	0.1568741707
253	0.1567552053
254	0.1566555312
255	0.1565048945
256	0.1563442579
257	0.156139305
258	0.1560281786
259	0.1558833555
260	0.1557962805
261	0.1556042953
262	0.1554728038
263	0.1552973632
264	0.1550850812
265	0.1550032956
266	0.1547688862
267	0.1546168231
268	0.1545142071
269	0.154446247
270	0.154323104
271	0.1542420964
272	0.1541282282
273	0.1539668127
274	0.1538059514
275	0.1537410541
276	0.1535634009
277	0.1534688291
278	0.1533286831
279	0.1532270231
280	0.1531024353
281	0.1529785605
282	0.1528976705
283	0.1528251042
284	0.1526491831
285	0.1525390548
286	0.1524685391
287	0.1523383734
288	0.1522395142
289	0.1521285511
290	0.1519471624
291	0.1518521736
292	0.1516683972
293	0.1514952148
294	0.1513502642
295	0.1512574227
296	0.1511258869
297	0.1510209957
298	0.1508280629
299	0.1506894143
300	0.1505321384
301	0.1504128633
302	0.1503091812
303	0.1502017197
304	0.1500995547
305	0.1499737112
306	0.1499123057
307	0.1497850353
308	0.1495807674
309	0.1494511794
310	0.1493098246
311	0.1491993933
312	0.1490394158
313	0.1489255274
314	0.1488483892
315	0.148753459
316	0.1486551496
317	0.1485427266
318	0.1484743006
319	0.1483712803
320	0.1481787764
321	0.1480824741
322	0.1480085944
323	0.1479492048
324	0.1478410254
325	0.147592119
326	0.147498653
327	0.1474289117
328	0.1473205641
329	0.147250693
330	0.1471193009
331	0.1469885443
332	0.1468848573
333	0.1467095791
334	0.1466033686
335	0.1465586747
336	0.1464290006
337	0.146226174
338	0.1461211302
339	0.146050204
340	0.1459619857
341	0.1457834816
342	0.1457153169
343	0.145647995
344	0.1455582279
345	0.1454728906
346	0.1453688816
347	0.145276009
348	0.1452066357
349	0.1451026175
350	0.144972261
351	0.1448547034
352	0.1446471307
353	0.1445674144
354	0.1445042642
355	0.1444191127
356	0.144357566
357	0.1442498716
358	0.1440702336
359	0.1440072318
360	0.1439372125
361	0.143820318
362	0.1437705459
363	0.1436877342
364	0.1435871977
365	0.1434984648
366	0.1434326477
367	0.143350046
368	0.1432749568
369	0.1431609689
370	0.1430621939
371	0.1429970848
372	0.1428848658
373	0.1428365407
374	0.1427083417
375	0.1426697046
376	0.1426148032
377	0.142499833
378	0.1424491057
379	0.142398173
380	0.142305333
381	0.1422357408
382	0.142159051
383	0.1420915449
384	0.1419633038
385	0.141877241
386	0.141729009
387	0.1416201179
388	0.1415276593
389	0.1414078821
390	0.1413400249
391	0.1412625824
392	0.1411857385
393	0.1410528331
394	0.1409817292
395	0.1409097621
396	0.1408550952
397	0.1407858764
398	0.1407182648
399	0.1405826618
400	0.1404358376
401	0.1403199755
402	0.1402727153
403	0.1401758993
404	0.1401153577
405	0.140086427
406	0.1399902294
407	0.1399272993
408	0.1398227699
409	0.13972288
410	0.1395740573
411	0.1394887701
412	0.1393414043
413	0.1392081075
414	0.1391381266
415	0.1390944006
416	0.1390347216
417	0.1389807051
418	0.1389233763
419	0.1388401378
420	0.1387800004
421	0.1386893587
422	0.1385681515
423	0.1384992264
424	0.1384427062
425	0.1383690701
426	0.1382840081
427	0.1382004109
428	0.1381106007
429	0.138025862
430	0.1379768676
431	0.1379119679
432	0.1378021031
433	0.1377080368
434	0.1375023574
435	0.137435807
436	0.1373650929
437	0.1373060702
438	0.1371897405
439	0.1370767
440	0.1369979469
441	0.1369123992
442	0.1368457689
443	0.1367692744
444	0.1366826763
445	0.1366166442
446	0.1365010192
447	0.1363286151
448	0.1362626759
449	0.1361520238
450	0.1360126037
451	0.1359614673
452	0.1359008243
453	0.1358412993
