iter	Passed	Remaining
0	38	38798
1	74	37111
2	109	36238
3	145	36263
4	185	36905
5	230	38108
6	279	39651
7	328	40693
8	381	41952
9	419	41552
10	457	41100
11	487	40142
12	525	39863
13	556	39175
14	602	39535
15	642	39496
16	692	40014
17	732	39956
18	761	39302
19	800	39234
20	844	39367
21	884	39331
22	932	39608
23	988	40198
24	1037	40465
25	1087	40726
26	1139	41061
27	1191	41351
28	1226	41073
29	1260	40750
30	1303	40753
31	1346	40729
32	1399	41015
33	1448	41167
34	1499	41334
35	1546	41402
36	1596	41556
37	1632	41318
38	1671	41196
39	1713	41127
40	1745	40826
41	1782	40663
42	1842	41010
43	1903	41350
44	1948	41349
45	1998	41456
46	2034	41245
47	2071	41083
48	2115	41065
49	2181	41457
50	2250	41873
51	2305	42031
52	2345	41900
53	2382	41732
54	2421	41598
55	2462	41513
56	2496	41306
57	2535	41184
58	2595	41393
59	2639	41355
60	2683	41311
61	2746	41553
62	2798	41623
63	2852	41724
64	2913	41912
65	2970	42034
66	3032	42231
67	3095	42424
68	3131	42250
69	3166	42064
70	3202	41904
71	3251	41902
72	3343	42464
73	3388	42396
74	3443	42469
75	3493	42472
76	3539	42432
77	3575	42264
78	3611	42098
79	3644	41908
80	3671	41655
81	3708	41517
82	3757	41511
83	3822	41685
84	3871	41671
85	3902	41473
86	3935	41300
87	3973	41184
88	4021	41166
89	4058	41039
90	4112	41076
91	4156	41025
92	4196	40925
93	4244	40914
94	4282	40795
95	4316	40647
96	4359	40586
97	4401	40509
98	4444	40450
99	4514	40627
100	4553	40526
101	4597	40478
102	4628	40306
103	4660	40151
104	4699	40057
105	4735	39940
106	4775	39852
107	4831	39900
108	4880	39892
109	4922	39826
110	4967	39783
111	5012	39743
112	5050	39641
113	5094	39591
114	5131	39490
115	5187	39536
116	5240	39552
117	5294	39574
118	5338	39521
119	5381	39464
120	5416	39349
121	5458	39279
122	5494	39172
123	5551	39216
124	5591	39139
125	5665	39296
126	5712	39269
127	5761	39251
128	5796	39139
129	5834	39043
130	5866	38913
131	5904	38823
132	5969	38916
133	6025	38940
134	6075	38926
135	6123	38900
136	6172	38880
137	6213	38809
138	6251	38721
139	6298	38691
140	6351	38692
141	6400	38671
142	6444	38620
143	6489	38577
144	6527	38492
145	6558	38361
146	6594	38267
147	6629	38162
148	6670	38096
149	6732	38148
150	6782	38135
151	6827	38091
152	6867	38020
153	6915	37991
154	6957	37927
155	6991	37823
156	7028	37737
157	7058	37616
158	7100	37558
159	7150	37538
160	7205	37548
161	7249	37501
162	7289	37431
163	7320	37316
164	7354	37219
165	7388	37119
166	7439	37105
167	7488	37087
168	7538	37065
169	7589	37056
170	7631	36999
171	7676	36954
172	7721	36909
173	7760	36839
174	7798	36765
175	7844	36728
176	7887	36673
177	7931	36626
178	7992	36656
179	8047	36662
180	8090	36609
181	8129	36538
182	8172	36488
183	8207	36398
184	8243	36316
185	8288	36274
186	8328	36210
187	8379	36193
188	8424	36150
189	8459	36063
190	8494	35978
191	8541	35947
192	8593	35934
193	8650	35939
194	8699	35914
195	8742	35860
196	8796	35854
197	8844	35822
198	8885	35764
199	8920	35682
200	8962	35627
201	9006	35580
202	9052	35539
203	9109	35543
204	9153	35497
205	9185	35404
206	9220	35322
207	9262	35268
208	9295	35179
209	9333	35110
210	9384	35092
211	9420	35014
212	9458	34948
213	9516	34954
214	9552	34879
215	9584	34787
216	9626	34736
217	9660	34654
218	9689	34556
219	9731	34501
220	9779	34472
221	9821	34421
222	9863	34366
223	9902	34305
224	9936	34224
225	9970	34147
226	10014	34103
227	10054	34044
228	10104	34020
229	10146	33968
230	10193	33933
231	10243	33909
232	10286	33862
233	10331	33819
234	10363	33736
235	10397	33660
236	10438	33604
237	10508	33645
238	10560	33627
239	10608	33592
240	10647	33534
241	10691	33487
242	10753	33498
243	10830	33555
244	10896	33578
245	10942	33538
246	10985	33491
247	11042	33482
248	11087	33440
249	11121	33363
250	11160	33304
251	11209	33271
252	11260	33247
253	11302	33196
254	11352	33167
255	11395	33117
256	11439	33070
257	11484	33029
258	11526	32978
259	11565	32917
260	11606	32862
261	11651	32820
262	11694	32771
263	11737	32721
264	11784	32685
265	11821	32620
266	11853	32542
267	11891	32480
268	11947	32467
269	11985	32405
270	12018	32331
271	12057	32270
272	12102	32228
273	12137	32160
274	12170	32084
275	12214	32042
276	12271	32031
277	12309	31969
278	12366	31956
279	12412	31918
280	12454	31867
281	12494	31812
282	12527	31739
283	12564	31676
284	12625	31674
285	12677	31650
286	12719	31598
287	12750	31523
288	12785	31455
289	12827	31404
290	12875	31371
291	12950	31399
292	12989	31342
293	13045	31326
294	13088	31278
295	13133	31236
296	13181	31199
297	13222	31149
298	13257	31081
299	13294	31020
300	13334	30966
301	13374	30912
302	13416	30861
303	13455	30806
304	13501	30765
305	13546	30723
306	13585	30666
307	13626	30615
308	13661	30550
309	13695	30483
310	13743	30446
311	13778	30384
312	13820	30333
313	13857	30275
314	13894	30214
315	13927	30146
316	13973	30107
317	14006	30038
318	14052	29998
319	14101	29965
320	14154	29940
321	14192	29883
322	14236	29838
323	14279	29793
324	14319	29740
325	14367	29705
326	14407	29651
327	14442	29590
328	14482	29537
329	14542	29525
330	14605	29519
331	14651	29478
332	14696	29437
333	14743	29399
334	14781	29342
335	14823	29293
336	14877	29268
337	14927	29236
338	14978	29206
339	15036	29188
340	15081	29145
341	15112	29075
342	15155	29028
343	15190	28968
344	15221	28898
345	15265	28855
346	15323	28837
347	15371	28798
348	15415	28755
349	15462	28716
350	15504	28668
351	15540	28608
352	15582	28560
353	15621	28507
354	15657	28448
355	15718	28435
356	15770	28404
357	15819	28369
358	15868	28333
359	15917	28298
360	15963	28256
361	16021	28236
362	16054	28173
363	16095	28122
364	16136	28073
365	16177	28023
366	16223	27982
367	16269	27940
368	16313	27896
369	16357	27852
370	16399	27803
371	16441	27756
372	16491	27721
373	16542	27689
374	16596	27661
375	16640	27615
376	16681	27566
377	16721	27515
378	16756	27456
379	16785	27387
380	16820	27327
381	16859	27275
382	16910	27242
383	16956	27201
384	17010	27172
385	17041	27108
386	17079	27053
387	17123	27008
388	17174	26975
389	17229	26949
390	17273	26903
391	17323	26869
392	17370	26829
393	17415	26786
394	17451	26729
395	17490	26677
396	17523	26615
397	17563	26565
398	17601	26512
399	17641	26461
400	17698	26436
401	17747	26400
402	17787	26349
403	17837	26314
404	17887	26278
405	17930	26233
406	17980	26197
407	18020	26147
408	18099	26153
409	18149	26117
410	18189	26067
411	18227	26013
412	18276	25975
413	18330	25946
414	18386	25918
415	18431	25875
416	18478	25834
417	18517	25782
418	18558	25734
419	18594	25678
420	18631	25623
421	18679	25584
422	18728	25546
423	18785	25520
424	18840	25489
425	18880	25439
426	18928	25401
427	18972	25355
428	19028	25327
429	19068	25276
430	19106	25224
431	19165	25198
432	19213	25159
433	19274	25136
434	19336	25114
435	19377	25066
436	19417	25016
437	19462	24972
438	19510	24931
439	19560	24895
440	19607	24854
441	19648	24805
442	19720	24795
443	19788	24780
444	19833	24736
445	19888	24704
446	19934	24662
447	19967	24602
448	20020	24569
449	20072	24533
450	20121	24493
451	20164	24447
452	20225	24421
453	20268	24375
454	20333	24355
455	20384	24318
456	20431	24276
457	20490	24248
458	20540	24209
459	20573	24151
460	20614	24102
